idx_no,crop_name_en,crop_name_hi,crop_name_mr,disease_name_en,disease_name_hi,disease_name_mr,disease_type,severity_level,cause,question_en,question_hi,question_mr,remedy_en,remedy_hi,remedy_mr,season,affected_plant_part,indian_state(major)
11,groundnut,मूंगफली ,मूंगफली ,Aflatoxin Crown Rot,क्राउन रोट ,क्राउन रोट,Fungal,Low,Aspergillus flavus,My seedlings are collapsing right at the ground level because of crown rot.,मुकुट सड़न के कारण मेरे अंकुर ज़मीनी स्तर पर ही गिर रहे हैं।,मुकुट कुजल्यामुळे माझी रोपे जमिनीच्या पातळीवर कोसळत आहेत.,Use biocontrol Afla-Guard to competitively exclude Aspergillus,एस्परगिलस को प्रतिस्पर्धात्मक रूप से बाहर करने के लिए बायोकंट्रोल अफला-गार्ड का उपयोग करें,एस्परगिलस स्पर्धात्मकपणे वगळण्यासाठी बायोकंट्रोल अफला-गार्ड वापरा,Post-Monsoon,Crown,Odisha
12,sugarcane,गन्ना,ऊस ,Smut,कंडुआ रोग ,कानी ,Fungal,Low,Sporisorium scitamineum,"Thin, grassy tillers are starting to emerge from the base of my infected plant clumps.","मेरे संक्रमित पौधों के गुच्छों के आधार से पतली, घास वाली टिलरें निकलने लगी हैं।","माझ्या संक्रमित झाडाच्या गुठळ्यांच्या पायथ्यापासून पातळ, गवताळ झाडे निघू लागली आहेत.",Rogue out smut affected clumps at first sign of whip emergence,चाबुक निकलने के पहले संकेत पर ही स्मट प्रभावित गुच्छों को हटा दें,चाबूक बाहेर येण्याच्या पहिल्या चिन्हावर स्मट प्रभावित गुच्छे,Summer,Tillers,Tamil Nadu
13,Wheat,गेहूँ,गेहूँ,Foot Rot,जड़ सड़न,मूळ कूज,Fungal,Low,Fusarium culmorum,My plants are showing really poor tillering because of the crown rot damage.,क्राउन रॉट क्षति के कारण मेरे पौधों में वास्तव में कम टिलरिंग दिखाई दे रही है।,क्राउन रॉट खराब झाल्यामुळे माझी रोपे खरोखरच खराब मशागत दाखवत आहेत.,Avoid waterlogged conditions by improving field drainage,खेत की जल निकासी में सुधार करके जलभराव की स्थिति से बचें,शेतातील निचरा सुधारून पाणी साचलेली परिस्थिती टाळा,Winter,Crown,Himachal Pradesh
14,sugarcane,गन्ना,ऊस ,Leaf Scald,लीफ स्काल्ड,पानावरील पांढरे पट्टे,Bacterial,Severe,Xanthomonas albilineans,I'm seeing pale white to cream-colored stripes running up my leaves from the base.,मैं अपनी पत्तियों पर आधार से लेकर हल्के सफेद से लेकर क्रीम रंग की धारियाँ देख रहा हूँ।,मला माझ्या पानांवर पायथ्यापासून फिकट पांढरे ते क्रीम रंगाचे पट्टे दिसत आहेत.,Ensure proper irrigation to avoid plant stress in summer,गर्मियों में पौधों को तनाव से बचाने के लिए उचित सिंचाई सुनिश्चित करें,उन्हाळ्यात झाडांवर ताण येऊ नये म्हणून योग्य सिंचनाची खात्री करा,Kharif,Vascular Tissue,Haryana
15,sugarcane,गन्ना,ऊस ,Yellow Leaf Disease,पीली पत्ती रोग,पिवळा पानांचा रोग ,Viral,Severe,Sugarcane yellow leaf virus,"The yellow leaves on my crop are drying out way too early, which is definitely hurting photosynthesis.","मेरी फसल की पीली पत्तियाँ बहुत जल्दी सूख रही हैं, जिससे निश्चित रूप से प्रकाश संश्लेषण प्रभावित हो रहा है।","माझ्या पिकावरील पिवळी पाने खूप लवकर सुकत आहेत, ज्यामुळे प्रकाश संश्लेषणाला नक्कीच त्रास होत आहे.",Apply Acetamiprid 20 SP at 0.2 gram per liter spray on crop,फसल पर एसिटामिप्रिड 20 एसपी 0.2 ग्राम प्रति लीटर का छिड़काव करें,एसीटामिप्रिड २० एसपी ०.२ ग्रॅम प्रति लिटर या प्रमाणात पिकावर फवारणी करावी,Kharif,Stalk,Punjab
16,potato,आलू ,बटाटा ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Low,Phytophthora infestans,The infected stems on my plants have dark brown lesions and are starting to collapse.,मेरे पौधों के संक्रमित तनों पर गहरे भूरे रंग के घाव हो गए हैं और वे झड़ने लगे हैं।,माझ्या झाडांवरील संक्रमित देठांवर गडद तपकिरी रंगाचे घाव आहेत आणि ते कोसळू लागले आहेत.,Spray Dimethomorph 50 WP at 1 gram per liter water,डाइमेथोमोर्फ 50 डब्लूपी 1 ग्राम प्रति लीटर पानी में घोलकर छिड़काव करें,डायमेथोमॉर्फ ५० डब्ल्यूपी १ ग्रॅम प्रति लिटर पाण्यात फवारावे,Rabi,Leaves,Uttarakhand
17,cotton,कपास,कपाशी,Cotton Wilt,कपास का उकठा रोग,मर रोग,Fungal,Mild,Fusarium oxysporum,"My plants are wilting all of a sudden, even though the soil moisture seems fine.","मेरे पौधे अचानक मुरझा रहे हैं, भले ही मिट्टी में नमी ठीक लग रही हो।",मातीतील ओलावा चांगला दिसत असला तरीही माझी झाडे अचानक कोमेजत आहेत.,Treat seed with Thiram plus Carbendazim combination mix,बीज को थीरम प्लस कार्बेन्डाजिम संयोजन मिश्रण से उपचारित करें,थिरम अधिक कार्बेन्डाझिमच्या मिश्रणाने बीजप्रक्रिया करा,Summer,Leaves,Telangana
18,sugarcane,गन्ना,ऊस ,Red Rot,लाल सड़न,लाल कुज ,Fungal,Low,Colletotrichum falcatum,I can see black fungal fruiting bodies showing up on the surface of the infected stalks.,मैं संक्रमित डंठलों की सतह पर काले कवक के फलने वाले पिंड दिखाई दे रहा हूँ।,मी संक्रमित देठाच्या पृष्ठभागावर काळ्या बुरशीचे फळ देणारे शरीर पाहू शकतो.,Use disease-free healthy sett material for planting season,रोपण मौसम के लिए रोग मुक्त स्वस्थ सेट सामग्री का उपयोग करें,लागवडीच्या हंगामासाठी रोगमुक्त निरोगी सेट सामग्रीचा वापर करा,Kharif,Internodes,Tamil Nadu
19,groundnut,मूंगफली ,मूंगफली ,Rust,गेरूआ,तांबेरा,Fungal,Low,Puccinia arachidis,There are reddish-brown uredia visible on the underside of my leaflet blades.,मेरे पत्रक ब्लेड के नीचे की ओर लाल-भूरे रंग के यूरेडिया दिखाई दे रहे हैं।,माझ्या लीफलेट ब्लेडच्या खालच्या बाजूला लाल-तपकिरी युरेडिया दिसत आहेत.,Use Propiconazole 25 EC at 1 ml per liter spray water,प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर पानी में छिड़काव करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Monsoon,Leaflets,Maharashtra
20,onion,प्याज ,कांदा ,Black Mold,काली फफूंद,काळी बुरशी,Fungal,Severe,Aspergillus niger,"When I touch the infected bulbs, a black powder rubs off right onto my hands.","जब मैं संक्रमित बल्बों को छूता हूं, तो एक काला पाउडर सीधे मेरे हाथों पर लग जाता है।",जेव्हा मी संक्रमित बल्बला स्पर्श करतो तेव्हा एक काळी पावडर माझ्या हातावर घासते.,Cure bulbs properly in sun for 10 to 14 days after harvest,कटाई के बाद 10 से 14 दिनों तक बल्बों को धूप में अच्छी तरह से सुखाएं,काढणीनंतर 10 ते 14 दिवस सूर्यप्रकाशात बल्ब व्यवस्थित बरा करा,Post-Monsoon,Bulb Surface,Gujarat
21,banana,केला,केळी,Moko Disease,मोको रोग,मोको रोग ,Bacterial,Severe,Ralstonia solanacearum,My unripe fruit shows a brown internal rot whenever I cut into it.,जब भी मैं अपने कच्चे फल को काटता हूं तो उसमें भूरे रंग की आंतरिक सड़ांध दिखाई देती है।,माझे न पिकलेले फळ जेव्हा मी त्यात कापतो तेव्हा ते तपकिरी अंतर्गत रॉट दर्शविते.,Flood fallow infected field to reduce bacteria in soil,मिट्टी में बैक्टीरिया को कम करने के लिए परती संक्रमित खेत में बाढ़ लाएँ,जमिनीतील जीवाणू कमी करण्यासाठी पूरग्रस्त शेतात पूर,Monsoon,Pseudostem,Tamil Nadu
22,cotton,कपास,कपाशी,Alternaria Leaf Spot,अल्टरनेरिया पत्ती धब्बा,अल्टरनेरिया पानांवरील ठिपके,Fungal,Mild,Alternaria macrospora,I'm noticing circular brown spots with concentric rings forming on the leaves.,मैं पत्तियों पर गाढ़ा छल्ले के साथ गोलाकार भूरे रंग के धब्बे देख रहा हूँ।,मला पानांवर गोलाकार तपकिरी ठिपके दिसत आहेत ज्यात एकाग्र वलय आहेत.,Remove and burn infected fallen leaves to reduce spores,बीजाणुओं को कम करने के लिए संक्रमित गिरी हुई पत्तियों को हटा दें और जला दें,बीजाणू कमी करण्यासाठी संक्रमित पडलेली पाने काढून टाका आणि जाळून टाका,Kharif,Petioles,Uttar Pradesh
23,Tomato,टमाटर,टोमॅटो ,Fusarium Wilt,उकठा ,फ्युसेरियम मर रोग ,Fungal,Mild,Fusarium oxysporum f.sp. lycopersici,"My plant shows no sign of recovery at all, even after I give it proper watering.",मेरे पौधे को उचित पानी देने के बाद भी उसके ठीक होने का कोई संकेत नहीं दिख रहा है।,मी योग्य पाणी दिल्यानंतरही माझ्या रोपाला बरे होण्याची चिन्हे दिसत नाहीत.,Avoid waterlogging which increases Fusarium infection risk,"जलभराव से बचें, जिससे फ्यूसेरियम संक्रमण का खतरा बढ़ जाता है",पाणी साचणे टाळा ज्यामुळे फ्युसेरियम संसर्गाचा धोका वाढतो,Kharif,Root,Rajasthan
24,maize,मक्का,मक्का,Maize Streak Virus,मक्का स्ट्रीक वायरस,मका स्ट्रीक व्हायरस,Viral,Severe,Maize streak virus,These streaks are starting at the base of my leaves and extending all the way to the tips.,ये धारियाँ मेरी पत्तियों के आधार से शुरू हो रही हैं और सिरों तक फैली हुई हैं।,या रेषा माझ्या पानांच्या पायथ्यापासून सुरू होतात आणि सर्व टोकापर्यंत पसरतात.,Treat seeds with imidacloprid before sowing to protect,बचाव के लिए बुआई से पहले बीजों को इमिडाक्लोप्रिड से उपचारित करें,संरक्षणासाठी पेरणीपूर्वी बियाण्यांना इमिडाक्लोप्रिडची प्रक्रिया करा,Kharif,Whole Plant,Karnataka
25,Tomato,टमाटर,टोमॅटो ,Fusarium Wilt,उकठा ,फ्युसेरियम मर रोग ,Fungal,Mild,Fusarium oxysporum f.sp. lycopersici,The infected stems on my plants have dark streaks that I can see from the outside.,मेरे पौधों के संक्रमित तनों पर काली धारियाँ हैं जिन्हें मैं बाहर से देख सकता हूँ।,माझ्या झाडांवरील संक्रमित देठांवर गडद रेषा आहेत ज्या मी बाहेरून पाहू शकतो.,Use Fusarium wilt resistant variety like Arka Vikas,अर्का विकास जैसी फ्यूजेरियम विल्ट प्रतिरोधी किस्म का उपयोग करें,अर्का विकास सारख्या फ्युसेरियम विल्ट प्रतिरोधक जाती वापरा,Kharif,Whole Plant,Rajasthan
26,sugarcane,गन्ना,ऊस ,Wilt,उकठा रोग ,मर रोग,Fungal,Low,Fusarium sacchari,I noticed brown streaking in the vascular bundles when I cut into the stalks.,जब मैंने डंठलों को काटा तो मैंने संवहनी बंडलों में भूरे रंग की धारियाँ देखीं।,जेव्हा मी देठ कापले तेव्हा मला संवहनी बंडलमध्ये तपकिरी रंगाची धार दिसली.,Apply Trichoderma harzianum biocontrol as soil treatment mix,मृदा उपचार मिश्रण के रूप में ट्राइकोडर्मा हार्ज़ियानम बायोकंट्रोल लागू करें,ट्रायकोडर्मा हार्जिअनम बायोकंट्रोल माती उपचार मिश्रण म्हणून वापरा,Summer,Leaves,Uttarakhand
27,onion,प्याज ,कांदा ,Downy Mildew,डाउनी मिल्ड्यू,केवडा,Fungal,Mild,Peronospora destructor,The infected leaves on my crop are turning pale yellow and collapsing downward.,मेरी फसल पर संक्रमित पत्तियाँ हल्की पीली पड़ रही हैं और नीचे की ओर गिर रही हैं।,माझ्या पिकावरील संक्रमित पाने फिकट पिवळी पडत आहेत आणि खाली कोसळत आहेत.,Remove and destroy infected plant tissue immediately,संक्रमित पौधे के ऊतकों को तुरंत हटा दें और नष्ट कर दें,संक्रमित ऊती ताबडतोब काढून टाका आणि नष्ट करा,Rabi,Neck,Bihar
28,sugarcane,गन्ना,ऊस ,Grassy Shoot Disease,ग्रासी शूट,गवताळ वाढ,Phytoplasma,Severe,Sugarcane grassy shoot phytoplasma,"My leaves look narrow and chlorotic, and they’re all bunched up at the growing point.","मेरी पत्तियाँ संकीर्ण और हरितहीन दिखती हैं, और विकास बिंदु पर वे सभी एकत्रित हो जाती हैं।",माझी पाने अरुंद आणि क्लोरोटिक दिसतात आणि ती सर्व वाढीच्या बिंदूवर एकत्रित होतात.,Spray Monocrotophos 36 SL at 1.5 ml per liter for leafhopper,लीफहॉपर के लिए मोनोक्रोटोफॉस 36 एसएल 1.5 मिली प्रति लीटर की दर से छिड़काव करें,मोनोक्रोटोफॉस 36 एसएल 1.5 मिली प्रति लिटर या प्रमाणात फवारणी करा,Monsoon,Growing Tip,Karnataka
29,cotton,कपास,कपाशी,Root Rot,जड़ सड़न,मूळ कूज,Fungal,Mild,Rhizoctonia solani,Dark brown lesions are appearing right at the base of my seedling stems.,मेरे अंकुर के तनों के ठीक नीचे गहरे भूरे रंग के घाव दिखाई दे रहे हैं।,माझ्या रोपाच्या देठाच्या मुळाशी गडद तपकिरी रंगाचे घाव दिसू लागले आहेत.,Drench soil with Carbendazim 1 gram per liter of water,कार्बेन्डाजिम 1 ग्राम प्रति लीटर पानी से मिट्टी को गीला करें,कार्बेन्डाझिम १ ग्रॅम प्रति लिटर पाण्यात मिसळून माती भिजवावी,Kharif,Stem Base,Maharashtra
30,banana,केला,केळी,Xanthomonas Wilt,जैन्थोमोनास विल्ट,जिवाणूजन्य मर ,Bacterial,Severe,Xanthomonas campestris pv. musacearum,I can see bacterial slime whenever I cut open the fruit.,जब भी मैं फल काटता हूं तो मुझे जीवाणु कीचड़ दिखाई देता है।,जेव्हा मी फळ उघडतो तेव्हा मला बॅक्टेरियाचा चिखल दिसतो.,Uproot and burn infected plants completely at once,संक्रमित पौधों को तुरंत उखाड़कर जला दें,संक्रमित झाडे एकाच वेळी पूर्णपणे उपटून टाका आणि जाळून टाका,Monsoon,Pseudostem,Kerala
31,Tomato,टमाटर,टोमॅटो ,Tomato Mosaic Virus,टमाटर मोजेक वायरस,टोमॅटो मोझॅक व्हायरस,Viral,Severe,Tomato mosaic virus,The infected leaves on my plants are becoming distorted and crinkled in shape.,मेरे पौधों पर संक्रमित पत्तियां विकृत और झुर्रीदार आकार की हो रही हैं।,माझ्या झाडावरील संक्रमित पाने विकृत आणि कुरकुरीत होत आहेत.,Remove weeds that serve as alternate host for virus,उन खरपतवारों को हटा दें जो वायरस के लिए वैकल्पिक मेजबान के रूप में काम करते हैं,विषाणूसाठी पर्यायी यजमान म्हणून काम करणारे तण काढून टाका,Rabi,Fruit,Himachal Pradesh
32,rice,चावल ,तांदूळ ,Sheath Blight,शीथ ब्लाइट,पर्णकोश करपा ,Fungal,Severe,Rhizoctonia solani,"All the sheaths on my plant are infected, which is causing them to wilt completely.","मेरे पौधे के सभी आवरण संक्रमित हैं, जिसके कारण वे पूरी तरह से मुरझा रहे हैं।","माझ्या रोपावरील सर्व आवरणे संक्रमित आहेत, ज्यामुळे ते पूर्णपणे कोमेजत आहेत.",Apply Carbendazim spray and remove sclerotia from field,कार्बेन्डाजिम स्प्रे लगाएं और स्क्लेरोटिया को खेत से हटा दें,कार्बेन्डाझिम फवारणी करा आणि शेतातून स्क्लेरोटीया काढून टाका,Kharif,All Sheaths,Bihar
33,maize,मक्का,मक्का,Downy Mildew,डाउनी मिल्ड्यू,केवडा,Fungal,Low,Peronosclerospora sorghi,I’m watching the leaf tissues turn brown as the infection moves along.,"मैं देख रहा हूँ कि जैसे-जैसे संक्रमण बढ़ता है, पत्तियों के ऊतक भूरे हो जाते हैं।",जसा जंतुसंसर्ग पुढे सरकतो तसतसे पानांच्या ऊती तपकिरी होत असल्याचे मी पाहत आहे.,Use downy mildew resistant maize hybrid varieties,Use downy mildew resistant maize hybrid varieties,डाऊनी बुरशी प्रतिरोधक मक्याच्या संकरित वाणांचा वापर करा,Monsoon,Whole Plant,Rajasthan
34,potato,आलू ,बटाटा ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Mild,Phytophthora infestans,My leaves turn brown and collapse almost immediately whenever it gets wet out.,मेरी पत्तियाँ भूरी हो जाती हैं और जब भी गीली होती हैं तो लगभग तुरंत गिर जाती हैं।,माझी पाने तपकिरी होतात आणि जेव्हाही ते ओले होते तेव्हा जवळजवळ लगेच कोसळतात.,Use Propamocarb hydrochloride at 3 ml per liter spray,प्रोपामोकार्ब हाइड्रोक्लोराइड 3 मिली प्रति लीटर स्प्रे का प्रयोग करें,प्रोपामोकार्ब हायड्रोक्लोराईड 3 मिली प्रति लिटर या प्रमाणात फवारणी करावी,Post-Monsoon,Petioles,West Bengal
35,potato,आलू ,बटाटा ,Blackleg,काली टांग रोग ,काळी कुज,Bacterial,Low,Pectobacterium atrosepticum,The young shoots emerging from my infected seeds are collapsing and dying.,मेरे संक्रमित बीजों से निकलने वाले युवा अंकुर टूट कर मर रहे हैं।,माझ्या संक्रमित बियाण्यांमधून बाहेर पडणारी कोवळी कोंब कोसळून मरत आहेत.,Store tubers in cool dry well-ventilated storage facility,"कंदों को ठंडी, सूखी, हवादार भंडारण सुविधा में संग्रहित करें",कंद थंड कोरड्या हवेशीर साठवणुकीच्या सुविधेत साठवा,Kharif,Tubers,Assam
36,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Low,Alternaria porri,The lesions are enlarging so fast that they're girdling the entire leaf blade.,घाव इतनी तेज़ी से बढ़ रहे हैं कि वे पूरी पत्ती की पत्ती को घेर रहे हैं।,जखम इतक्या झपाट्याने वाढतात की ते संपूर्ण पानाच्या ब्लेडला कंबरेने बांधतात.,Apply Hexaconazole 5 EC at 2 ml per liter spray solution,हेक्साकोनाज़ोल 5 ईसी 2 मिलीलीटर प्रति लीटर स्प्रे घोल का प्रयोग करें,हेक्साकोनाझोल 5 ईसी 2 मिली प्रति लिटर या प्रमाणात फवारणी करावी,Rabi,Neck,Odisha
37,cotton,कपास,कपाशी,Cotton Wilt,कपास का उकठा रोग,मर रोग,Fungal,Mild,Fusarium oxysporum,I can clearly see dark brown streaks in the cross-section of the stems.,मैं तनों के क्रॉस-सेक्शन में गहरे भूरे रंग की धारियाँ स्पष्ट रूप से देख सकता हूँ।,मला देठाच्या क्रॉस-सेक्शनमध्ये गडद तपकिरी रेषा स्पष्टपणे दिसतात.,Apply Trichoderma viride at 5 gram per kg seed treatment,ट्राइकोडर्मा विराइड 5 ग्राम प्रति किलोग्राम बीज उपचारित करें,ट्रायकोडर्मा विराइड 5 ग्रॅम प्रति किलो बियाण्यावर प्रक्रिया करा,Kharif,Stem,Telangana
38,Wheat,गेहूँ,गेहूँ,Powdery Mildew,चूर्णी फफूंद ,भुरी रोग ,Fungal,Low,Blumeria graminis,Dense white mycelium is making my leaves curl up and dry out.,घने सफेद मायसेलियम के कारण मेरी पत्तियाँ मुड़ रही हैं और सूख रही हैं।,दाट पांढरा मायसेलियम माझी पाने कुरळे आणि कोरडे बनवत आहे.,Avoid excessive nitrogen which promotes mildew growth,अत्यधिक नाइट्रोजन से बचें जो फफूंदी वृद्धि को बढ़ावा देती है,अति नायट्रोजन टाळा जे बुरशीच्या वाढीस प्रोत्साहन देते,Rabi,Stem,Maharashtra
39,potato,आलू ,बटाटा ,Potato Virus Y,आलू वायरस वाई ,बटाट्यावरील 'वाय' विषाणू,Viral,Mild,Potato virus Y,A mosaic mottling pattern is starting to show up on the young leaves of my plants.,मेरे पौधों की नई पत्तियों पर मोज़ेक धब्बेदार पैटर्न दिखाई देने लगा है।,माझ्या रोपांच्या कोवळ्या पानांवर मोझॅक मोटलिंग पॅटर्न दिसू लागला आहे.,Rogue infected plants early before virus spreads further,वायरस के आगे फैलने से पहले ही दुष्टों ने पौधों को संक्रमित कर दिया,विषाणूचा प्रादुर्भाव होण्यापूर्वी रोगाने संक्रमित झाडे लवकर लावली,Kharif,Stem,Uttar Pradesh
40,groundnut,मूंगफली ,मूंगफली ,Collar Rot,कॉलर रोट,कॉलर रोट ,Fungal,Severe,Aspergillus niger,I can see black mold on the outside of my young seedling stems near the base.,मैं अपने युवा अंकुर के तनों के बाहर आधार के पास काला साँचा देख सकता हूँ।,मला माझ्या कोवळ्या रोपाच्या देठाच्या बाहेरील बाजूस काळ्या रंगाचा साचा दिसतो.,Use Trichoderma viride at 5 gram per kg as seed treatment,बीजोपचार के रूप में ट्राइकोडर्मा विराइड 5 ग्राम प्रति किलोग्राम का प्रयोग करें,ट्रायकोडर्मा विराइड 5 ग्रॅम प्रति किलो या प्रमाणात बीजप्रक्रिया म्हणून वापरा,Rabi,Seeds,Uttar Pradesh
