date,crop,location,price_quintal
2024-07-03,Rice,Punjab,2840
2024-07-04,Rice,Punjab,2860
2024-07-05,Rice,Punjab,2880
2024-07-06,Rice,Punjab,2900
2024-07-07,Rice,Punjab,2920
2024-07-08,Rice,Punjab,2940
2024-07-09,Rice,Punjab,2960
2024-07-10,Rice,Punjab,2980
2024-07-11,Rice,Punjab,3000
2024-07-12,Rice,Punjab,3020
2024-07-13,Rice,Punjab,3040
2024-07-14,Rice,Punjab,3060
2024-07-15,Rice,Punjab,3080
2024-07-16,Rice,Punjab,3100
2024-07-17,Rice,Punjab,3120
2024-07-18,Rice,Punjab,3140
2024-07-19,Rice,Punjab,3160
2024-07-20,Rice,Punjab,3180
2024-07-21,Rice,Punjab,3200
2024-07-22,Rice,Punjab,3220
2024-07-23,Rice,Punjab,3240
2024-07-24,Rice,Punjab,3260
2024-07-25,Rice,Punjab,3280
2024-07-26,Rice,Punjab,3300
2024-07-27,Rice,Punjab,3320
2024-07-28,Rice,Punjab,3340
2024-07-29,Rice,Punjab,3360
2024-07-30,Rice,Punjab,3380
